,time,location,pressure,temperature_time,temperature,conductivity_time,conductivity,oxygen_time,oxygen,salinity_psu,oxygen_mlL,depth
0,2023-10-25 09:41:28,POINT(11.776445 54.161526),1210.021973,2023-10-25 09:41:28,12.1356773,2023-10-25 09:41:28,21.2883644,2023-10-25 09:41:28,169.0,17.124743154662518,4.638066293157085,-1.9702197299999988
1,2023-10-25 09:41:29,POINT(11.77645 54.161526),1203.918457,2023-10-25 09:41:29,12.137435,2023-10-25 09:41:29,21.3085289,2023-10-25 09:41:29,162.0,17.142989251471832,4.448915885693579,-1.9091845699999999
2,2023-10-25 09:41:32,POINT(11.776452 54.161503),1214.599609,2023-10-25 09:41:32,12.167676,2023-10-25 09:41:32,21.327198,2023-10-25 09:41:32,163.0,17.14355709837799,4.467233521965281,-2.015996090000001
3,2023-10-25 09:41:33,POINT(11.776438 54.161487),1205.444336,2023-10-25 09:41:33,12.134141,2023-10-25 09:41:33,21.327198,2023-10-25 09:41:33,163.0,17.160579390220132,4.475269922605332,-1.9244433600000002
4,2023-10-25 09:41:35,POINT(11.776339 54.161422),1217.651367,2023-10-25 09:41:35,12.1504707,2023-10-25 09:41:35,21.3182373,2023-10-25 09:41:35,163.0,17.14276456136095,4.466993889919613,-2.0465136699999995
5,2023-10-25 09:41:37,POINT(11.776332 54.161432),1211.547852,2023-10-25 09:41:37,12.1310635,2023-10-25 09:41:37,21.3070335,2023-10-25 09:41:37,163.0,17.14292338608634,4.472396808274551,-1.9854785199999991
6,2023-10-25 09:41:39,POINT(11.776291 54.161425),1217.651367,2023-10-25 09:41:39,12.1551561,2023-10-25 09:41:39,21.3204784,2023-10-25 09:41:39,163.0,17.142629722035746,4.466572855367154,-2.0465136699999995
7,2023-10-25 09:41:40,POINT(11.77626 54.161424),1203.918457,2023-10-25 09:41:40,12.1414623,2023-10-25 09:41:40,21.2891121,2023-10-25 09:41:40,163.0,17.124093198314405,4.476544067424265,-1.9091845699999999
8,2023-10-25 09:41:42,POINT(11.776204 54.161394),1173.400879,2023-10-25 09:41:42,12.0500221,2023-10-25 09:41:42,20.9776974,2023-10-25 09:41:42,163.0,16.89721565726232,4.509642905778274,-1.6040087900000004
9,2023-10-25 09:41:43,POINT(11.776204 54.161343),1110.839844,2023-10-25 09:41:43,11.9893723,2023-10-25 09:41:43,20.413866,2023-10-25 09:41:43,163.0,16.44041812889329,4.566266856647861,-0.9783984400000009
10,2023-10-25 09:41:46,POINT(11.776193 54.161293),1034.545898,2023-10-25 09:41:46,11.9759455,2023-10-25 09:41:46,18.8299084,2023-10-25 09:41:46,164.0,15.072726703711956,4.682815173271462,-0.2154589800000008
11,2023-10-25 09:41:47,POINT(11.776182 54.161271),1016.235352,2023-10-25 09:41:47,11.979394,2023-10-25 09:41:47,18.3766041,2023-10-25 09:41:47,164.0,14.67960228113137,4.705591792171591,-0.032353520000000344
12,2023-10-25 09:41:49,POINT(11.776151 54.161253),1042.175293,2023-10-25 09:41:49,11.9805689,2023-10-25 09:41:49,18.387804,2023-10-25 09:41:49,164.0,14.68405270268142,4.689052676628778,-0.29175293000000013
13,2023-10-25 09:41:51,POINT(11.776137 54.161241),1121.520996,2023-10-25 09:41:51,11.9821081,2023-10-25 09:41:51,19.8545151,2023-10-25 09:41:51,164.0,15.949872619906724,4.602597161198483,-1.0852099599999996
