,time,location,pressure,temperature_time,temperature,conductivity_time,conductivity,oxygen_time,oxygen,salinity_psu,oxygen_mlL,depth
0,2023-10-09 13:20:11,POINT(10.961024 54.0087),1142.883301,2023-10-09 13:20:11,15.3764753,2023-10-09 13:20:11,20.9425983,2023-10-09 13:20:11,158.0,15.495121801597941,4.146495899441882,-1.2988330100000007
1,2023-10-09 13:20:12,POINT(10.961024 54.008701),1139.831543,2023-10-09 13:20:12,15.3764753,2023-10-09 13:20:12,20.9448376,2023-10-09 13:20:12,160.0,15.497473470910371,4.2006164140358075,-1.2683154300000001
2,2023-10-09 13:20:14,POINT(10.961027 54.008706),1139.831543,2023-10-09 13:20:14,15.3801575,2023-10-09 13:20:14,20.9448376,2023-10-09 13:20:14,160.0,15.496050272262867,4.200358336348055,-1.2683154300000001
3,2023-10-09 13:20:15,POINT(10.961029 54.008706),1147.460938,2023-10-09 13:20:15,15.379096,2023-10-09 13:20:15,20.9455853,2023-10-09 13:20:15,160.0,15.4957128938077,4.19621917604424,-1.3446093799999994
4,2023-10-09 13:20:16,POINT(10.96103 54.008706),1148.986816,2023-10-09 13:20:16,15.3874559,2023-10-09 13:20:16,20.9448376,2023-10-09 13:20:16,160.0,15.491608234637527,4.194810609865649,-1.3598681600000009
5,2023-10-09 13:20:18,POINT(10.961031 54.008704),1152.038574,2023-10-09 13:20:18,15.3808661,2023-10-09 13:20:18,20.943346,2023-10-09 13:20:18,161.0,15.492407799229907,4.219835215032536,-1.3903857399999993
6,2023-10-09 13:20:19,POINT(10.961031 54.008704),1159.667969,2023-10-09 13:20:19,15.3755522,2023-10-09 13:20:19,20.943346,2023-10-09 13:20:19,161.0,15.493110082865877,4.215991417800594,-1.4666796900000008
7,2023-10-09 13:20:20,POINT(10.961031 54.008705),1152.038574,2023-10-09 13:20:20,15.3873873,2023-10-09 13:20:20,20.9440918,2023-10-09 13:20:20,161.0,15.490491614440403,4.219360669506258,-1.3903857399999993
8,2023-10-09 13:20:22,POINT(10.961031 54.008705),1156.616211,2023-10-09 13:20:22,15.3878126,2023-10-09 13:20:22,20.9485722,2023-10-09 13:20:22,161.0,15.49313841878086,4.216706612606183,-1.4361621100000002
9,2023-10-09 13:20:23,POINT(10.961031 54.008705),1156.616211,2023-10-09 13:20:23,15.3854027,2023-10-09 13:20:23,20.9493198,2023-10-09 13:20:23,161.0,15.494673655045878,4.216860468528307,-1.4361621100000002
