,time,location,pressure,temperature_time,temperature,conductivity_time,conductivity,oxygen_time,oxygen,salinity_psu,oxygen_mlL,depth
0,2023-10-25 10:11:47,POINT(11.765624 54.18316),2783.203125,2023-10-25 10:11:47,13.2498741,2023-10-25 10:11:47,24.2299976,2023-10-25 10:11:47,144.0,18.836038833209617,3.1010669740556915,-17.70203125
1,2023-10-25 10:11:49,POINT(11.765637 54.183148),2816.772461,2023-10-25 10:11:49,13.2555876,2023-10-25 10:11:49,24.2643528,2023-10-25 10:11:49,141.0,18.85602651978678,3.022216824324813,-18.03772461
2,2023-10-25 10:11:50,POINT(11.765646 54.183137),2868.652344,2023-10-25 10:11:50,13.2541447,2023-10-25 10:11:50,24.2770481,2023-10-25 10:11:50,139.0,18.857343712767594,2.958898815747939,-18.55652344
3,2023-10-25 10:11:51,POINT(11.765664 54.183131),2793.884277,2023-10-25 10:11:51,13.2515402,2023-10-25 10:11:51,24.2621136,2023-10-25 10:11:51,141.0,18.860568540550148,3.0315870836799665,-17.808842770000002
4,2023-10-25 10:11:53,POINT(11.765682 54.183108),2807.617188,2023-10-25 10:11:53,13.2523336,2023-10-25 10:11:53,24.2486687,2023-10-25 10:11:53,142.0,18.84599195314694,3.0477419453778327,-17.94617188
5,2023-10-25 10:11:54,POINT(11.765691 54.183095),2778.625488,2023-10-25 10:11:54,13.2497301,2023-10-25 10:11:54,24.2225323,2023-10-25 10:11:54,143.0,18.83063466088216,3.081521333205329,-17.656254880000002
6,2023-10-25 10:11:56,POINT(11.765704 54.183076),2798.461914,2023-10-25 10:11:56,13.2520447,2023-10-25 10:11:56,24.2262669,2023-10-25 10:11:56,143.0,18.828802435471633,3.073294194575592,-17.85461914
7,2023-10-25 10:11:57,POINT(11.765704 54.183064),2789.306641,2023-10-25 10:11:57,13.2498035,2023-10-25 10:11:57,24.2285042,2023-10-25 10:11:57,143.0,18.83359090104387,3.077081575282616,-17.76306641
8,2023-10-25 10:11:58,POINT(11.765707 54.183058),2789.306641,2023-10-25 10:11:58,13.2512512,2023-10-25 10:11:58,24.2195454,2023-10-25 10:11:58,144.0,18.825246979167954,3.0986755069508165,-17.76306641
9,2023-10-25 10:12:00,POINT(11.765675 54.183037),2803.039551,2023-10-25 10:12:00,13.2537804,2023-10-25 10:12:00,24.2524033,2023-10-25 10:12:00,143.0,18.84939405155365,3.070926353007125,-17.90039551
10,2023-10-25 10:12:01,POINT(11.765662 54.183024),2781.677246,2023-10-25 10:12:01,13.250598,2023-10-25 10:12:01,24.2292519,2023-10-25 10:12:01,143.0,18.83535759175876,3.0801281098842392,-17.68677246
11,2023-10-25 10:12:02,POINT(11.765649 54.183013),2793.884277,2023-10-25 10:12:02,13.2509613,2023-10-25 10:12:02,24.2322388,2023-10-25 10:12:02,143.0,18.835324198800592,3.075106001467489,-17.808842770000002
12,2023-10-25 10:12:04,POINT(11.76562 54.182982),2803.039551,2023-10-25 10:12:04,13.2529869,2023-10-25 10:12:04,24.2456837,2023-10-25 10:12:04,143.0,18.844033624564208,3.0710752710443696,-17.90039551
13,2023-10-25 10:12:05,POINT(11.765602 54.182969),2828.979492,2023-10-25 10:12:05,13.2563849,2023-10-25 10:12:05,24.2710724,2023-10-25 10:12:05,141.0,18.8589772211302,3.0172082587006965,-18.15979492
14,2023-10-25 10:12:07,POINT(11.76558 54.18295),2812.194824,2023-10-25 10:12:07,13.2546492,2023-10-25 10:12:07,24.2725658,2023-10-25 10:12:07,141.0,18.864393250131613,3.0239553566572663,-17.991948240000003
15,2023-10-25 10:12:08,POINT(11.765558 54.182939),2799.987793,2023-10-25 10:12:08,13.2505274,2023-10-25 10:12:08,24.2344799,2023-10-25 10:12:08,142.0,18.836240876528294,3.051129267961227,-17.869877929999998
16,2023-10-25 10:12:09,POINT(11.765523 54.182933),2804.56543,2023-10-25 10:12:09,13.2542887,2023-10-25 10:12:09,24.253149,2023-10-25 10:12:09,143.0,18.84948687491224,3.0702711640454714,-17.9156543
17,2023-10-25 10:12:11,POINT(11.765465 54.182911),2807.617188,2023-10-25 10:12:11,13.2524786,2023-10-25 10:12:11,24.239708,2023-10-25 10:12:11,143.0,18.83826923565286,3.0693442085627627,-17.94617188
18,2023-10-25 10:12:12,POINT(11.76544 54.182933),2815.246582,2023-10-25 10:12:12,13.2576132,2023-10-25 10:12:12,24.2628593,2023-10-25 10:12:12,142.0,18.85408391790206,3.0441890519656196,-18.02246582
19,2023-10-25 10:12:14,POINT(11.765402 54.18297),2813.720703,2023-10-25 10:12:14,13.2560959,2023-10-25 10:12:14,24.2628593,2023-10-25 10:12:14,142.0,18.85511007229136,3.0448757824001116,-18.00720703
20,2023-10-25 10:12:15,POINT(11.765373 54.183001),2828.979492,2023-10-25 10:12:15,13.2539253,2023-10-25 10:12:15,24.2673378,2023-10-25 10:12:15,141.0,18.85696345868017,3.0173870609369913,-18.15979492
21,2023-10-25 10:12:16,POINT(11.765346 54.183026),2827.453613,2023-10-25 10:12:16,13.2548637,2023-10-25 10:12:16,24.2733135,2023-10-25 10:12:16,140.0,18.861919042122185,2.9964498518770215,-18.144536130000002
22,2023-10-25 10:12:18,POINT(11.765312 54.183057),2874.755859,2023-10-25 10:12:18,13.2545042,2023-10-25 10:12:18,24.280035,2023-10-25 10:12:18,138.0,18.85852311952454,2.9351841936903984,-18.617558589999998
23,2023-10-25 10:12:19,POINT(11.765302 54.183064),2877.807617,2023-10-25 10:12:19,13.2566748,2023-10-25 10:12:19,24.2897434,2023-10-25 10:12:19,138.0,18.865174456083853,2.933749527002268,-18.64807617
24,2023-10-25 10:12:21,POINT(11.765296 54.183073),2894.592285,2023-10-25 10:12:21,13.2571793,2023-10-25 10:12:21,24.2942238,2023-10-25 10:12:21,137.0,18.865464102752902,2.9059567603624834,-18.815922850000003
25,2023-10-25 10:12:22,POINT(11.765293 54.183077),2825.927734,2023-10-25 10:12:22,13.2537804,2023-10-25 10:12:22,24.274807,2023-10-25 10:12:22,139.0,18.86401333891966,2.975673415869079,-18.129277339999998
26,2023-10-25 10:12:23,POINT(11.765275 54.183081),2789.306641,2023-10-25 10:12:23,13.2513952,2023-10-25 10:12:23,24.2576313,2023-10-25 10:12:23,141.0,18.857713530068455,3.0334974956987244,-17.76306641
27,2023-10-25 10:12:25,POINT(11.765253 54.18308),2793.884277,2023-10-25 10:12:25,13.2495146,2023-10-25 10:12:25,24.2322388,2023-10-25 10:12:25,143.0,18.836015110054134,3.0751773257840966,-17.808842770000002
28,2023-10-25 10:12:26,POINT(11.765249 54.183083),2777.099609,2023-10-25 10:12:26,13.2536364,2023-10-25 10:12:26,24.2225323,2023-10-25 10:12:26,143.0,18.829071006792315,3.0819484697088524,-17.640996089999998
29,2023-10-25 10:12:28,POINT(11.765229 54.183068),2796.936035,2023-10-25 10:12:28,13.2500191,2023-10-25 10:12:28,24.2262669,2023-10-25 10:12:28,142.0,18.830070544601206,3.052516027644176,-17.839360350000003
30,2023-10-25 10:12:29,POINT(11.765231 54.183049),2787.780762,2023-10-25 10:12:29,13.2513208,2023-10-25 10:12:29,24.2374668,2023-10-25 10:12:29,143.0,18.840824010049694,3.0774791825480663,-17.74780762
31,2023-10-25 10:12:30,POINT(11.765246 54.183037),2795.410156,2023-10-25 10:12:30,13.2489357,2023-10-25 10:12:30,24.2299976,2023-10-25 10:12:30,143.0,18.83407579793591,3.074623696308553,-17.82410156
32,2023-10-25 10:12:32,POINT(11.76527 54.183016),2789.306641,2023-10-25 10:12:32,13.2487211,2023-10-25 10:12:32,24.231493,2023-10-25 10:12:32,144.0,18.83666108628259,3.0986040917916626,-17.76306641
33,2023-10-25 10:12:33,POINT(11.765282 54.183008),2793.884277,2023-10-25 10:12:33,13.2482863,2023-10-25 10:12:33,24.2270126,2023-10-25 10:12:33,143.0,18.832137263234916,3.0753234680933828,-17.808842770000002
34,2023-10-25 10:12:34,POINT(11.765298 54.182983),2783.203125,2023-10-25 10:12:34,13.250598,2023-10-25 10:12:34,24.2322388,2023-10-25 10:12:34,143.0,18.837607719179438,3.079459283873776,-17.70203125
35,2023-10-25 10:12:36,POINT(11.765334 54.18294),2798.461914,2023-10-25 10:12:36,13.2511063,2023-10-25 10:12:36,24.2352276,2023-10-25 10:12:36,143.0,18.83690424796237,3.073193806085284,-17.85461914
36,2023-10-25 10:12:37,POINT(11.765355 54.182914),2803.039551,2023-10-25 10:12:37,13.2519741,2023-10-25 10:12:37,24.2516556,2023-10-25 10:12:37,143.0,18.849618558861142,3.0710274676330447,-17.90039551
37,2023-10-25 10:12:39,POINT(11.765397 54.182878),2781.677246,2023-10-25 10:12:39,13.2492952,2023-10-25 10:12:39,24.2322388,2023-10-25 10:12:39,143.0,18.83853166953535,3.080143471467538,-17.68677246
38,2023-10-25 10:12:40,POINT(11.765402 54.182878),2792.358398,2023-10-25 10:12:40,13.2492256,2023-10-25 10:12:40,24.2292519,2023-10-25 10:12:40,143.0,18.833902908871675,3.0758594787357283,-17.793583979999998
39,2023-10-25 10:12:41,POINT(11.765404 54.182877),2798.461914,2023-10-25 10:12:41,13.2520447,2023-10-25 10:12:41,24.2374668,2023-10-25 10:12:41,143.0,18.838368733079747,3.0731109410690363,-17.85461914
40,2023-10-25 10:12:43,POINT(11.765404 54.182859),2801.513672,2023-10-25 10:12:43,13.2518292,2023-10-25 10:12:43,24.2561379,2023-10-25 10:12:43,142.0,18.853817954421416,3.0500998552662852,-17.885136720000002
41,2023-10-25 10:12:44,POINT(11.7654 54.182847),2781.677246,2023-10-25 10:12:44,13.2498741,2023-10-25 10:12:44,24.2412014,2023-10-25 10:12:44,143.0,18.845912303312335,3.0799678644135997,-17.68677246
42,2023-10-25 10:12:46,POINT(11.765386 54.182859),2792.358398,2023-10-25 10:12:46,13.2498741,2023-10-25 10:12:46,24.2292519,2023-10-25 10:12:46,143.0,18.83359322385386,3.0758274968792922,-17.793583979999998
43,2023-10-25 10:12:47,POINT(11.765386 54.182863),2786.254883,2023-10-25 10:12:47,13.2500191,2023-10-25 10:12:47,24.2292519,2023-10-25 10:12:47,144.0,18.834729509907113,3.099824078849558,-17.73254883
44,2023-10-25 10:12:48,POINT(11.765389 54.182864),2801.513672,2023-10-25 10:12:48,13.252553,2023-10-25 10:12:48,24.2412014,2023-10-25 10:12:48,143.0,18.84071352037259,3.0717880867323615,-17.885136720000002
45,2023-10-25 10:12:50,POINT(11.765397 54.182875),2803.039551,2023-10-25 10:12:50,13.2529135,2023-10-25 10:12:50,24.2546444,2023-10-25 10:12:50,142.0,18.85172262217571,3.0494573175218433,-17.90039551
46,2023-10-25 10:12:51,POINT(11.765391 54.182885),2781.677246,2023-10-25 10:12:51,13.2496595,2023-10-25 10:12:51,24.2434425,2023-10-25 10:12:51,143.0,18.8479296078658,3.079941702675904,-17.68677246
47,2023-10-25 10:12:53,POINT(11.765387 54.182882),2783.203125,2023-10-25 10:12:53,13.2513952,2023-10-25 10:12:53,24.2277603,2023-10-25 10:12:53,143.0,18.833401064010676,3.079493354321051,-17.70203125
48,2023-10-25 10:12:54,POINT(11.76538 54.18288),2799.987793,2023-10-25 10:12:54,13.2534914,2023-10-25 10:12:54,24.236721,2023-10-25 10:12:54,143.0,18.836739627556874,3.0724334590266307,-17.869877929999998
49,2023-10-25 10:12:55,POINT(11.765369 54.182871),2810.668945,2023-10-25 10:12:55,13.2519741,2023-10-25 10:12:55,24.2546444,2023-10-25 10:12:55,142.0,18.8506656335104,3.04643602599257,-17.97668945
50,2023-10-25 10:12:57,POINT(11.765335 54.182877),2784.729004,2023-10-25 10:12:57,13.247489,2023-10-25 10:12:57,24.2374668,2023-10-25 10:12:57,143.0,18.843257936254922,3.0789073500993878,-17.717290039999998
51,2023-10-25 10:12:58,POINT(11.765314 54.182889),2781.677246,2023-10-25 10:12:58,13.2492256,2023-10-25 10:12:58,24.2292519,2023-10-25 10:12:58,143.0,18.836013103674237,3.0801959044702563,-17.68677246
52,2023-10-25 10:13:00,POINT(11.76528 54.182918),2786.254883,2023-10-25 10:13:00,13.2485762,2023-10-25 10:13:00,24.2262669,2023-10-25 10:13:00,143.0,18.83286856503307,3.0784176839560966,-17.73254883
53,2023-10-25 10:13:01,POINT(11.765256 54.182939),2807.617188,2023-10-25 10:13:01,13.2511063,2023-10-25 10:13:01,24.253149,2023-10-25 10:13:01,142.0,18.850405271593942,3.047729178244196,-17.94617188
54,2023-10-25 10:13:02,POINT(11.765229 54.182956),2786.254883,2023-10-25 10:13:02,13.2508869,2023-10-25 10:13:02,24.2419491,2023-10-25 10:13:02,143.0,18.845162070492275,3.078046562407679,-17.73254883
55,2023-10-25 10:13:04,POINT(11.765191 54.182981),2792.358398,2023-10-25 10:13:04,13.2502384,2023-10-25 10:13:04,24.2322388,2023-10-25 10:13:04,143.0,18.835970746704685,3.0757606126184744,-17.793583979999998
56,2023-10-25 10:13:05,POINT(11.765175 54.182991),2781.677246,2023-10-25 10:13:05,13.250164,2023-10-25 10:13:05,24.2262669,2023-10-25 10:13:05,144.0,18.833014792720288,3.1017383597617028,-17.68677246
57,2023-10-25 10:13:06,POINT(11.765175 54.182995),2793.884277,2023-10-25 10:13:06,13.2485762,2023-10-25 10:13:06,24.2247734,2023-10-25 10:13:06,143.0,18.83008604903704,3.075345841577355,-17.808842770000002
58,2023-10-25 10:13:08,POINT(11.765193 54.183006),2824.401855,2023-10-25 10:13:08,13.2542152,2023-10-25 10:13:08,24.2651005,2023-10-25 10:13:08,141.0,18.85581650560838,3.0192314174562993,-18.11401855
59,2023-10-25 10:13:09,POINT(11.765202 54.183011),2836.608887,2023-10-25 10:13:09,13.2530565,2023-10-25 10:13:09,24.2710724,2023-10-25 10:13:09,139.0,18.859064800685633,2.971577621454483,-18.23608887
60,2023-10-25 10:13:11,POINT(11.765212 54.183008),2896.118164,2023-10-25 10:13:11,13.2580471,2023-10-25 10:13:11,24.2979584,2023-10-25 10:13:11,137.0,18.86793776658123,2.9052739272885497,-18.83118164
61,2023-10-25 10:13:12,POINT(11.765217 54.183001),2917.480469,2023-10-25 10:13:12,13.2691822,2023-10-25 10:13:12,24.3293228,2023-10-25 10:13:12,136.0,18.88519431955944,2.8749614214606045,-19.04480469
62,2023-10-25 10:13:13,POINT(11.765222 54.182993),2946.472168,2023-10-25 10:13:13,13.2866058,2023-10-25 10:13:13,24.3606873,2023-10-25 10:13:13,136.0,18.897945024258647,2.8627155344528026,-19.334721679999998
63,2023-10-25 10:13:15,POINT(11.765213 54.182973),2919.006348,2023-10-25 10:13:15,13.2816181,2023-10-25 10:13:15,24.3569565,2023-10-25 10:13:15,136.0,18.90252323660783,2.8733903136406758,-19.06006348
64,2023-10-25 10:13:16,POINT(11.765211 54.182957),2919.006348,2023-10-25 10:13:16,13.2710629,2023-10-25 10:13:16,24.3420181,2023-10-25 10:13:16,136.0,18.894828092188,2.8741025429223654,-19.06006348
65,2023-10-25 10:13:18,POINT(11.765203 54.182938),2912.902832,2023-10-25 10:13:18,13.2764854,2023-10-25 10:13:18,24.3420181,2023-10-25 10:13:18,136.0,18.89343036029281,2.8761683422511806,-18.99902832
66,2023-10-25 10:13:19,POINT(11.765198 54.182935),2815.246582,2023-10-25 10:13:19,13.2546492,2023-10-25 10:13:19,24.2792893,2023-10-25 10:13:19,138.0,18.8695337122628,2.958318919136087,-18.02246582
67,2023-10-25 10:13:20,POINT(11.765197 54.182933),2749.633789,2023-10-25 10:13:20,13.2550087,2023-10-25 10:13:20,24.236721,2023-10-25 10:13:20,142.0,18.845974302949518,3.0712033385899757,-17.36633789
68,2023-10-25 10:13:22,POINT(11.765187 54.182934),2650.45166,2023-10-25 10:13:22,13.2736664,2023-10-25 10:13:22,24.1642819,2023-10-25 10:13:22,142.0,18.79487298644395,3.11190795522371,-16.374516600000003
69,2023-10-25 10:13:23,POINT(11.765182 54.182929),2571.105957,2023-10-25 10:13:23,13.202569,2023-10-25 10:13:23,24.0507679,2023-10-25 10:13:23,144.0,18.747530305376745,3.1945278069344267,-15.581059570000003
70,2023-10-25 10:13:25,POINT(11.765186 54.182915),2519.226074,2023-10-25 10:13:25,13.094409,2023-10-25 10:13:25,23.9029026,2023-10-25 10:13:25,148.0,18.682703978625575,3.3142312889782675,-15.062260740000001
71,2023-10-25 10:13:26,POINT(11.765193 54.182906),2449.035645,2023-10-25 10:13:26,12.9605885,2023-10-25 10:13:26,23.6661663,2023-10-25 10:13:26,151.0,18.55691410770603,3.4246783549444895,-14.36035645
72,2023-10-25 10:13:27,POINT(11.765191 54.182901),2352.905273,2023-10-25 10:13:27,12.867609,2023-10-25 10:13:27,23.3883591,2023-10-25 10:13:27,154.0,18.380861655113204,3.5480312047595213,-13.39905273
73,2023-10-25 10:13:29,POINT(11.765174 54.182922),2314.758301,2023-10-25 10:13:29,12.8146524,2023-10-25 10:13:29,23.2830601,2023-10-25 10:13:29,155.0,18.32260378101774,3.5942806955296227,-13.01758301
74,2023-10-25 10:13:30,POINT(11.765182 54.182935),2246.09375,2023-10-25 10:13:30,12.7377415,2023-10-25 10:13:30,23.2016583,2023-10-25 10:13:30,155.0,18.302325121536786,3.6332408081917396,-12.3309375
75,2023-10-25 10:13:32,POINT(11.76506 54.183102),2180.480957,2023-10-25 10:13:32,12.7213764,2023-10-25 10:13:32,23.1650658,2023-10-25 10:13:32,156.0,18.291739727545544,3.6902443372947813,-11.674809570000003
76,2023-10-25 10:13:33,POINT(11.765053 54.183101),2105.712891,2023-10-25 10:13:33,12.7023182,2023-10-25 10:13:33,23.1314602,2023-10-25 10:13:33,156.0,18.286941326667005,3.728732046411508,-10.92712891
77,2023-10-25 10:13:34,POINT(11.765051 54.183096),2030.944824,2023-10-25 10:13:34,12.6807795,2023-10-25 10:13:34,23.072464,2023-10-25 10:13:34,156.0,18.261338930104465,3.7683011321879616,-10.17944824
78,2023-10-25 10:13:36,POINT(11.765021 54.183079),1959.228516,2023-10-25 10:13:36,12.7330141,2023-10-25 10:13:36,23.0687294,2023-10-25 10:13:36,156.0,18.248404079300425,3.8009274352586226,-9.462285159999999
79,2023-10-25 10:13:37,POINT(11.765022 54.183062),1893.615723,2023-10-25 10:13:37,12.6719017,2023-10-25 10:13:37,22.918623,2023-10-25 10:13:37,156.0,18.160432367945674,3.8410666173917996,-8.806157229999998
80,2023-10-25 10:13:39,POINT(11.765035 54.183031),1837.158203,2023-10-25 10:13:39,12.7611561,2023-10-25 10:13:39,22.945509,2023-10-25 10:13:39,156.0,18.15372757911707,3.863462679127937,-8.24158203
81,2023-10-25 10:13:40,POINT(11.765044 54.183019),1771.54541,2023-10-25 10:13:40,12.9845953,2023-10-25 10:13:40,22.9970379,2023-10-25 10:13:40,155.0,18.107631221899528,3.856553267557653,-7.5854541
82,2023-10-25 10:13:41,POINT(11.765051 54.183009),1722.717285,2023-10-25 10:13:41,12.831872,2023-10-25 10:13:41,22.3652477,2023-10-25 10:13:41,155.0,17.64230136075972,3.9047638003592358,-7.09717285
83,2023-10-25 10:13:43,POINT(11.765051 54.182993),1620.483398,2023-10-25 10:13:43,12.6552334,2023-10-25 10:13:43,21.7610874,2023-10-25 10:13:43,154.0,17.219936854539107,3.9570658237929868,-6.074833980000001
