,time,location,pressure,temperature_time,temperature,conductivity_time,conductivity,oxygen_time,oxygen,salinity_psu,oxygen_mlL,depth
0,2023-10-09 13:46:00,POINT(10.927491 53.984173),1139.831543,2023-10-09 13:46:00,15.2152329,2023-10-09 13:46:00,20.7357349,2023-10-09 13:46:00,160.0,15.39033445744428,4.216333988315165,-1.2683154300000001
1,2023-10-09 13:46:01,POINT(10.927494 53.984175),1135.253906,2023-10-09 13:46:01,15.2158012,2023-10-09 13:46:01,20.7364826,2023-10-09 13:46:01,160.0,15.391532264014826,4.218809920561132,-1.2225390599999992
2,2023-10-09 13:46:04,POINT(10.927496 53.984178),1139.831543,2023-10-09 13:46:04,15.2313395,2023-10-09 13:46:04,20.7648621,2023-10-09 13:46:04,160.0,15.407751500106617,4.2145854128011075,-1.2683154300000001
3,2023-10-09 13:46:06,POINT(10.927501 53.984177),1139.831543,2023-10-09 13:46:06,15.2375116,2023-10-09 13:46:06,20.7581387,2023-10-09 13:46:06,160.0,15.399924608244554,4.214290418635693,-1.2683154300000001
4,2023-10-09 13:46:07,POINT(10.927508 53.984172),1124.572754,2023-10-09 13:46:07,15.2345305,2023-10-09 13:46:07,20.7558994,2023-10-09 13:46:07,160.0,15.401958634368285,4.222988997567153,-1.1157275400000004
5,2023-10-09 13:46:09,POINT(10.927506 53.98418),1100.158691,2023-10-09 13:46:09,15.2648211,2023-10-09 13:46:09,20.7880116,2023-10-09 13:46:09,160.0,15.420651151776285,4.233703003565215,-0.8715869100000009
6,2023-10-09 13:46:10,POINT(10.927506 53.984182),1042.175293,2023-10-09 13:46:10,15.2024593,2023-10-09 13:46:10,20.7297611,2023-10-09 13:46:10,160.0,15.407764496224658,4.271719362365158,-0.29175293000000013
7,2023-10-09 13:46:12,POINT(10.927506 53.984183),1029.968262,2023-10-09 13:46:12,15.169385,2023-10-09 13:46:12,20.6983967,2023-10-09 13:46:12,160.0,15.397224515810375,4.281612949422643,-0.16968262000000095
8,2023-10-09 13:46:13,POINT(10.927506 53.984183),1074.21875,2023-10-09 13:46:13,15.2109051,2023-10-09 13:46:13,20.740963,2023-10-09 13:46:13,160.0,15.407888658202557,4.25296665116069,-0.6121875
9,2023-10-09 13:46:15,POINT(10.927503 53.984189),1132.202148,2023-10-09 13:46:15,15.2303457,2023-10-09 13:46:15,20.7678471,2023-10-09 13:46:15,160.0,15.411905942572723,4.218811599624149,-1.1920214800000009
10,2023-10-09 13:46:16,POINT(10.927505 53.984191),1199.34082,2023-10-09 13:46:16,15.2863073,2023-10-09 13:46:16,20.7947311,2023-10-09 13:46:16,160.0,15.400293991425517,4.177362809696737,-1.863408199999999
11,2023-10-09 13:46:18,POINT(10.927506 53.984193),1246.643066,2023-10-09 13:46:18,15.2622671,2023-10-09 13:46:18,20.7708359,2023-10-09 13:46:18,160.0,15.381887106823463,4.153694183141385,-2.336430660000001
12,2023-10-09 13:46:19,POINT(10.927506 53.984194),1298.522949,2023-10-09 13:46:19,15.2782974,2023-10-09 13:46:19,20.7887573,2023-10-09 13:46:19,160.0,15.381164340017296,4.124063172816136,-2.8552294899999993
13,2023-10-09 13:46:21,POINT(10.927518 53.984195),1351.928711,2023-10-09 13:46:21,15.3116207,2023-10-09 13:46:21,20.8275909,2023-10-09 13:46:21,160.0,15.39047403053167,4.092225319497905,-3.38928711
14,2023-10-09 13:46:22,POINT(10.927525 53.984193),1405.334473,2023-10-09 13:46:22,15.3816481,2023-10-09 13:46:22,20.9045124,2023-10-09 13:46:22,160.0,15.41644131099815,4.057405628686213,-3.923344729999999
