,time,location,pressure,temperature_time,temperature,conductivity_time,conductivity,oxygen_time,oxygen,salinity_psu,oxygen_mlL,depth
0,2023-10-25 09:55:15,POINT(11.771711 54.17211),1184.082031,2023-10-25 09:55:15,12.2782183,2023-10-25 09:55:15,19.6887264,2023-10-25 09:55:15,164.0,15.669934185311085,4.544767410514752,-1.7108203099999992
1,2023-10-25 09:55:17,POINT(11.77173 54.172118),1190.185547,2023-10-25 09:55:17,12.2586985,2023-10-25 09:55:17,19.5513153,2023-10-25 09:55:17,165.0,15.557341174711741,4.573800153093452,-1.7718554700000004
2,2023-10-25 09:55:18,POINT(11.771738 54.172122),1188.659668,2023-10-25 09:55:18,12.2398262,2023-10-25 09:55:18,19.1734371,2023-10-25 09:55:18,165.0,15.237267161921965,4.585700421480969,-1.7565966800000001
3,2023-10-25 09:55:22,POINT(11.771706 54.172183),1187.133789,2023-10-25 09:55:22,12.3032951,2023-10-25 09:55:22,19.7215843,2023-10-25 09:55:22,165.0,15.687600300838394,4.567779676956707,-1.7413378899999998
4,2023-10-25 09:55:23,POINT(11.771692 54.17221),1187.133789,2023-10-25 09:55:23,12.2818756,2023-10-25 09:55:23,19.7462292,2023-10-25 09:55:23,165.0,15.71781189295107,4.568902017696968,-1.7413378899999998
5,2023-10-25 09:55:26,POINT(11.771644 54.172257),1190.185547,2023-10-25 09:55:26,12.2906485,2023-10-25 09:55:26,19.4758892,2023-10-25 09:55:26,165.0,15.478889979723483,4.5730808726361944,-1.7718554700000004
6,2023-10-25 09:55:28,POINT(11.7716 54.172265),1187.133789,2023-10-25 09:55:28,12.2856779,2023-10-25 09:55:28,19.5012798,2023-10-25 09:55:28,165.0,15.503522334835212,4.574700376000257,-1.7413378899999998
7,2023-10-25 09:56:12,POINT(11.770933 54.172136),2145.385742,2023-10-25 09:56:12,12.8352852,2023-10-25 09:56:12,23.3330956,2023-10-25 09:56:12,163.0,18.390694646697053,3.862919999013546,-11.32385742
8,2023-10-25 09:56:14,POINT(11.770944 54.172151),2172.851563,2023-10-25 09:56:14,12.8353605,2023-10-25 09:56:14,23.3465405,2023-10-25 09:56:14,162.0,18.396639576183308,3.82504040835396,-11.598515630000001
9,2023-10-25 09:56:15,POINT(11.770955 54.172163),2223.205566,2023-10-25 09:56:15,12.859622,2023-10-25 09:56:15,23.4040413,2023-10-25 09:56:15,162.0,18.424549893484517,3.796990857625961,-12.102055660000001
